priority,risk_score,literal,meanings_ko,meanings_en,signals,linked_word_count,linked_examples,qa_status,qa_note
P0,56,孝,"[""효도""]","[""filial piety"", ""child's respect""]",single_compound_evidence;copied_linked_word_gloss,1,N2:孝行=효도,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,宥,"[""달래다""]","[""soothe"", ""calm"", ""pacify""]",single_compound_evidence;copied_linked_word_gloss,1,N1:宥める=달래다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,宴,"[""연회"", ""잔치""]","[""banquet"", ""feast"", ""party""]",single_compound_evidence;copied_linked_word_gloss,1,"N2:宴会=연회, 잔치",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,寂,"[""쓸쓸하다"", ""외롭다""]","[""loneliness"", ""quietly"", ""mellow"", ""mature"", ""death of a priest""]",single_compound_evidence;copied_linked_word_gloss,1,"N2:寂しい=쓸쓸하다,외롭다; 쓸쓸하다, 외롭다",auto,Manual format normalization 2026-08-18: 중복 뜻 제거.
P0,56,尋,"[""묻다"", ""질문하다""]","[""inquire"", ""fathom"", ""look for""]",single_compound_evidence;copied_linked_word_gloss,1,"N4:尋ねる=묻다, 질문하다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,尖,"[""뾰족해지다"", ""날카로워지다""]","[""be pointed"", ""sharp"", ""taper"", ""displeased"", ""angry"", ""edgy""]",single_compound_evidence;copied_linked_word_gloss,1,"N2:尖る=뾰족해지다, 날카로워지다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,尤,"[""지당함"", ""당연함""]","[""reasonable"", ""just"", ""natural"", ""superb"", ""outstanding"", ""plausible""]",single_compound_evidence;copied_linked_word_gloss,1,"N3:尤も=지당함, 당연함",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,庇,"[""감싸다"", ""비호하다"", ""두둔하다""]","[""protect"", ""shield"", ""defend"", ""eaves"", ""canopy"", ""penthouse"", ""visor""]",single_compound_evidence;copied_linked_word_gloss,1,"N2:庇う=감싸다,비호하다; 두둔하다, 비호하다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,徐,"[""서서히""]","[""gradually"", ""slowly"", ""deliberately"", ""gently""]",single_compound_evidence;copied_linked_word_gloss,1,N2:徐々に=서서히,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,悠,"[""유유히"", ""여유롭게""]","[""permanence"", ""distant"", ""long time"", ""leisure""]",single_compound_evidence;copied_linked_word_gloss,1,"N2:悠々=유유히, 여유롭게",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,悲,"[""슬프다""]","[""grieve"", ""sad"", ""deplore"", ""regret""]",single_compound_evidence;copied_linked_word_gloss,1,N3:悲しい=슬프다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,愉,"[""즐거움""]","[""pleasure"", ""happy"", ""rejoice""]",single_compound_evidence;copied_linked_word_gloss,1,"N3:愉快=유쾌함, 즐거움",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,懲,"[""혼나다"", ""넌더리나다""]","[""penal"", ""chastise"", ""punish"", ""discipline""]",single_compound_evidence;copied_linked_word_gloss,1,"N1:懲りる=혼나다, 넌더리나다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,拵,"[""만들다"", ""제조하다""]","[""make"", ""prepare"", ""arrange""]",single_compound_evidence;copied_linked_word_gloss,1,"N2:拵える=만들다, 제조하다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,挑,"[""도전하다""]","[""challenge"", ""contend for"", ""make love to""]",single_compound_evidence;copied_linked_word_gloss,1,N3:挑む=도전하다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,捗,"[""진척되다""]","[""make progress""]",single_compound_evidence;copied_linked_word_gloss,1,N1:捗る=진척되다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,捧,"[""바치다"", ""받들다""]","[""lift up"", ""give"", ""offer"", ""consecrate"", ""sacrifice"", ""dedicate""]",single_compound_evidence;copied_linked_word_gloss,1,"N1:捧げる=바치다, 받들다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,撫,"[""쓰다듬다""]","[""stroke"", ""pat"", ""smooth down""]",single_compound_evidence;copied_linked_word_gloss,1,N2:撫でる=쓰다듬다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,暑,"[""덥다""]","[""sultry"", ""hot"", ""summer heat""]",single_compound_evidence;copied_linked_word_gloss,1,N4:暑い=덥다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,暫,"[""잠시""]","[""temporarily"", ""a while"", ""moment"", ""long time""]",single_compound_evidence;copied_linked_word_gloss,1,N3:暫く=잠시,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,朽,"[""썩다""]","[""decay"", ""rot"", ""remain in seclusion""]",single_compound_evidence;copied_linked_word_gloss,1,N1:朽ちる=썩다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,椅,"[""의자""]","[""chair""]",single_compound_evidence;copied_linked_word_gloss,1,N5:椅子=의자,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,楕,"[""타원""]","[""ellipse""]",single_compound_evidence;copied_linked_word_gloss,1,N2:楕円=타원,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,殆,"[""대부분"", ""거의""]","[""almost"", ""quite"", ""really""]",single_compound_evidence;copied_linked_word_gloss,1,"N4:殆ど=대부분, 거의",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,殴,"[""때리다"", ""치다""]","[""assault"", ""hit"", ""beat"", ""thrash""]",single_compound_evidence;copied_linked_word_gloss,1,"N2:殴る=때리다, 치다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,毟,"[""쥐어뜯다"", ""잡아 뽑다""]","[""pluck"", ""pick"", ""tear"", ""(kokuji)""]",single_compound_evidence;copied_linked_word_gloss,1,"N1:毟る=쥐어뜯다, 잡아 뽑다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
