id,level,surface,reading_kana,meaning_ko,display_surface,decision,evidence,collides_with,example_jp
w_55a89ec42223f73e,N5,いい,いい,"좋음, 좋은",,needs-review,ambiguous or no common kanji form,,善い事をすればいい報いがある.
w_4c739feaedcd1de0,N5,ようか,ようか,"8일, 여드레",八日,example-exact,unique JMdict form occurs in curated example,,日本プロサッカー・リーグは八日，延長戦に採用していた「サドン・デス方式」の名称を，「Ｖゴール方式」に変更すると発表した
w_1da8dde639dcee40,N5,でも,でも,"하지만, 그렇지만",,keep-kana,ambiguous or no common kanji form,,ロ：でも勝手に使わせるようにはしないでください。
w_aba657db70bdb298,N5,ならう,ならう,"배우다, 익히다",習う,example-exact,unique JMdict form occurs in curated example,w_a0c558d30a7b5279,書斎に端座して書を習う
w_901e9473e86b14cd,N5,また,また,또,,needs-review,ambiguous or no common kanji form,,また悪をした
w_0ea9569520107931,N5,てがみ,てがみ,편지,手紙,example-exact,unique JMdict form occurs in curated example,w_5ef17e779ccf6818,手紙を書く暇もない.
w_5284226e672d96c5,N5,にさつ,にさつ,두 권(잡지),二冊,manual-context,meaning and inflection reviewed,,このざっしをにさつかいました。
w_8cc945ebe05fb345,N5,くらい,くらい,어둡다,暗い,example-exact,unique JMdict form occurs in curated example,w_871d839872345899,いつも暗い顔をしている.
w_b24621b76259caa8,N5,さんさつ,さんさつ,세 권(책),三冊,manual-context,meaning and inflection reviewed,,としょかんでほんをさんさつかりました。
w_825bad35884b199b,N5,すぐに,すぐに,"곧, 바로",直ぐに,example-exact,unique JMdict form occurs in curated example,,溺者を発見したら直ぐに救助するのが最も大切である
w_01658ab2cabde4e9,N5,もっと,もっと,"좀 더, 더",,keep-kana,ambiguous or no common kanji form,,被害はもっと広がる模様だ.
w_2b11811c35f6554d,N5,こちら,こちら,"이쪽, 이 분, 이 사람",,needs-review,ambiguous or no common kanji form,,こちらに来てください。
w_409c10a69baafd5f,N5,でる,でる,나가(오)다,出る,manual-homophone,meaning-sensitive JMdict choice,w_52ca205b3d7f3971,取り次ぎに出る
w_38856be7d8a54293,N5,ほしい,ほしい,가지고 싶다,欲しい,manual-homophone,meaning-sensitive JMdict choice,,くせ毛の私はサラサラのつるっとした直毛がほしい。
w_44328544e7a3b011,N5,なぜ,なぜ,왜,何故,jmdict-unambiguous,common JMdict form,,なぜしきりにしゃべり散らしているんだ.
