word_id,jp,ko,source,source_url,license,permission_status,attribution,captured_at,qa_status,sort_order,naver_example_id,naver_source_cid,naver_source_name,query,qa_note
w_00016e229a19b84b,人を動かす力がある.,사람을 움직이게 하는 힘이 있다,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E5%8A%9B,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 한일사전,1780157112983,auto,0,9f8405ac438947b99657136a9e45711e,881982a8,민중서림 엣센스 한일사전,力,auto-selected score=102
w_0008d0b93f394410,機械を動かすと、岩は粉々に砕けた。,기계를 작동하자 바위는 잘게 으스러졌다.,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E7%B2%89%E3%80%85,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 국립국어원 한국어-일본어 학습사전,1780156672750,auto,0,e66d813afbc64fed8ea6fbf7e11d01c8,8819cr4o,국립국어원 한국어-일본어 학습사전,粉々,auto-selected score=102
w_000b1574854c2e77,二階で変な[怪しい]物音がする,2층에서 이상한[수상쩍은] 소리가 난다,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E5%A4%89%E3%81%AA,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 일한사전,1786202230634,auto,0,c3815c50037d4c51bc4fd075dd8db7a0,081341B9,민중서림 엣센스 일한사전,変な 이상한,auto-selected score=129 meaning_hits=1 target_match=surface; query=変な 이상한
w_0014ac027b7eefb9,人は見かけによらない,사람은 외관으로는 판단할 수 없다.,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E8%A6%8B%E6%8E%9B%E3%81%91,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 일한사전,1786206560410,auto,0,2347a7cb7462457e8089fcd958fa0bd1,081341B9,민중서림 엣센스 일한사전,見かけ,auto-selected score=129 meaning_hits=1 target_match=surface; query=見掛け; 전수 표기 교정에 맞춰 예문 見掛け→見かけ 동기화
w_001541c60c1be2c5,テーラーメード医療が、医療の常識を大きく変えつつある,맞춤 의료가 의료의 상식을 바꾸고 있다,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E5%8C%BB%E7%99%82,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 일한사전,1786205343111,auto,0,5d0530ea0c7d485582ef4fbde1eac0d4,081341B9,민중서림 엣센스 일한사전,医療 의료,auto-selected score=134 meaning_hits=1 target_match=surface; query=医療 의료
w_00318a2bf1c95fa1,敬称を略す,경칭을 생략하다,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E7%95%A5%E3%81%99,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 일한사전,1786203683724,auto,0,87e07bbacd584f11bdadbb8d29f6576b,081341B9,민중서림 엣센스 일한사전,略す,auto-selected score=121 meaning_hits=1 target_match=surface; query=略す
w_0035510c35c16a5b,忘れ物がないか念押しする,잊은 물건이 없는지 거듭 확인하다,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E5%BF%98%E3%82%8C%E7%89%A9,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 일한사전,1786205178385,auto,0,d1925082eb594396a4c9f4de208bcaa7,081341B9,민중서림 엣센스 일한사전,忘れ物,auto-selected score=163 meaning_hits=2 target_match=surface; query=忘れ物
w_004f79db367ab175,世を驚かす; 世間をあっと言わせる,세상을 놀라게 하다,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E9%A9%9A%E3%81%8B%E3%81%99,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 한일사전,1786203812075,auto,0,37188a450f7146749231f64f3e8de20c,881982a8,민중서림 엣센스 한일사전,驚かす 놀라게 하다,auto-selected score=129 meaning_hits=1 target_match=surface; query=驚かす 놀라게 하다
w_006a682a41241ada,森の木々が芽を出し始めた,숲의 나무들이 싹을 틔우기 시작했다,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E6%A3%AE,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 일한사전,1786202272633,auto,0,356b5dd0bcfb4faa8257b3216afdf30d,081341B9,민중서림 엣센스 일한사전,森 숲,auto-selected score=117 meaning_hits=0 target_match=surface; query=森 숲
w_0073d7c610c0711c,物質が固体になると密度が高くなり、気体になると密度が低くなる。,물질이 고체가 되면 밀도가 높아지고 기체가 되면 밀도가 낮아진다.,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E5%AF%86%E5%BA%A6,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 국립국어원 한국어-일본어 학습사전,1786204282652,auto,0,5be4caaa4f174e8c9d37017fc0b1affb,8819cr4o,국립국어원 한국어-일본어 학습사전,密度 밀도,auto-selected score=114 meaning_hits=1 target_match=surface; query=密度 밀도
