id,level,surface,category,example_jp_current,tts_text_actual,evidence,source,generated_at
w_5b637076c1aa0e76,N5,お兄さん,speaker_label_or_space_only,イ：あなたのお兄さんはどこにいる？,あなたのお兄さんはどこにいる？,same_id_generation_report,data/pdf-vocab/n5n4_example_cleanup_tts_report.json,2026-08-18T02:31:58.074103+00:00
w_1da8dde639dcee40,N5,でも,speaker_label_or_space_only,ロ：でも勝手に使わせるようにはしないでください。,でも勝手に使わせるようにはしないでください。,same_id_generation_report,data/pdf-vocab/n5n4_example_cleanup_tts_report.json,2026-08-18T02:31:58.074103+00:00
w_b29a4071c1fdde80,N5,スカート,speaker_label_or_space_only,ロ：お母さん、寒くても、足首までくるスカートよりはミニスカートのほうが可愛いんですよ。,お母さん、寒くても、足首までくるスカートよりはミニスカートのほうが可愛いんですよ。,same_id_generation_report,data/pdf-vocab/n5n4_example_cleanup_tts_report.json,2026-08-18T02:31:58.074103+00:00
w_08414fa5796dc2f4,N5,一昨日,speaker_label_or_space_only,イ：社長、実は一昨日、今日までに翻訳をしてほしいとのお願いがありました。,社長、実は一昨日、今日までに翻訳をしてほしいとのお願いがありました。,same_id_generation_report,data/pdf-vocab/n5n4_example_cleanup_tts_report.json,2026-08-18T02:31:58.074103+00:00
w_c8cb9889616e2de7,N5,中,speaker_label_or_space_only,イ：もうすぐ日が暮れるから、あまり奥まった森の中まで入ってはいけない。,もうすぐ日が暮れるから、あまり奥まった森の中まで入ってはいけない。,same_id_generation_report,data/pdf-vocab/n5n4_example_cleanup_tts_report.json,2026-08-18T02:31:58.074103+00:00
w_c664ee879081d5a8,N5,丸い,speaker_label_or_space_only,イ：うわあ、空の月を見て。本当に大きくて丸い!,うわあ、空の月を見て。本当に大きくて丸い!,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_d2cfe93c2de12009,N5,今晩,speaker_label_or_space_only,イ：今晩の夕食には何を作って食べる？,今晩の夕食には何を作って食べる？,same_id_generation_report,data/pdf-vocab/n5n4_example_cleanup_tts_report.json,2026-08-18T02:31:58.074103+00:00
w_01f119facf6e9d97,N5,伯父さん,speaker_label_or_space_only,イ：伯父さん、お母さんが幼い頃はどうでしたか。,伯父さん、お母さんが幼い頃はどうでしたか。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_d317994d8c83fe94,N5,傘,speaker_label_or_space_only,ロ：そうだね。傘をさすのが曖昧だね。,そうだね。傘をさすのが曖昧だね。,same_id_generation_report,data/pdf-vocab/n5n4_example_cleanup_tts_report.json,2026-08-18T02:31:58.074103+00:00
w_52ca205b3d7f3971,N5,出る,speaker_label_or_space_only,イ:キム元長官が今回の総選挙に出るのは事実だろうか。,キム元長官が今回の総選挙に出るのは事実だろうか。,same_id_generation_report,data/pdf-vocab/n5n4_example_cleanup_tts_report.json,2026-08-18T02:31:58.074103+00:00
w_69c992c9db76a823,N5,叔父さん,material_text_change,イ：ジス、今日は伯父さんの家に挨拶に行ったから、明日は叔父さんの家に行こう。,今日は伯父さんの家に挨拶に行ったから、明日は叔父さんの家に行こう。,same_id_generation_report,data/pdf-vocab/n5n4_example_cleanup_tts_report.json,2026-08-18T02:31:58.074103+00:00
w_9462c592fc28b4a7,N5,女の人,speaker_label_or_space_only,イ：見た？あの女の人が私に少し笑いをこぼしていった。,見た？あの女の人が私に少し笑いをこぼしていった。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_a430acefffcd0bfe,N5,小父さん,speaker_label_or_space_only,イ：小父さん、急ぎの用なので、もっと早く行って下さい。,小父さん、急ぎの用なので、もっと早く行って下さい。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_867190723b874b1e,N4,お釣り,speaker_label_or_space_only,イ：さあ、お釣り、ここにございます。,さあ、お釣り、ここにございます。,same_id_generation_report,data/pdf-vocab/n5n4_example_cleanup_tts_report.json,2026-08-18T02:31:58.074103+00:00
w_4fdd9f73dd3e62a1,N4,ページ,speaker_label_or_space_only,ロ：次のページの9ページを探してみてください。,次のページの9ページを探してみてください。,same_id_generation_report,data/pdf-vocab/n5n4_example_cleanup_tts_report.json,2026-08-18T02:31:58.074103+00:00
w_e12f8a407f734e3c,N4,一杯,speaker_label_or_space_only,ロ：うん。私はごみで一杯になったゴミ箱から空にするね。,うん。私はごみで一杯になったゴミ箱から空にするね。,same_id_generation_report,data/pdf-vocab/n5n4_example_cleanup_tts_report.json,2026-08-18T02:31:58.074103+00:00
w_95c20aa284db3d48,N4,丁寧,material_text_change,仕事は丁寧だ。其の代わり時間がかかる,祝賀の客に丁寧におじぎをする.,legacy_audio_sha256+prehash_db,git:98566ec/assets/jlpt.db,
w_b8e95fc32384cfa5,N4,予約,material_text_change,バンドの予約をしてください。,レストランを予約してください。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
