id,level,surface,reading_kana,meaning_ko,severity,queue,accepted_reason,issues,catalog_status,catalog_level,catalog_pron,catalog_entry,search_status,search_level,search_entry,jmdict_issue,jmdict_detail,example_source,example_contain_basis,example_jp,spelling_note,naver_means,source_url
w_3e5c61e8a0dce5c9,N4,仕方ない,しかたない,어쩔 수 없다,queue,catalog-absent,,naver-level-missing,naver_level_missing,,,,,,,,,self,surface,今さら後悔しても仕方ない。,,,https://ja.dict.naver.com/#/search?query=%E4%BB%95%E6%96%B9%E3%81%AA%E3%81%84
w_08ce685bcb19f6e1,N2,後,ご,"뒤, 나중",queue,homograph,,level-ambiguous,manual_review,N2,尻·臀·後,しり,match,N2,後,,,naver,surface,後から来て前に出る,,궁둥이;엉덩이;뒤;뒤쪽;끝;끝 부분,https://ja.dict.naver.com/#/search?query=%E5%BE%8C
w_14e067fde838f088,N2,課,か,"과, 부서",queue,catalog-absent-search-match,,naver-level-missing,naver_level_missing,,,,match,N2,課,,,naver,surface,初授業だから教科書の1課から順番に沿って勉強しましょう。,,,https://ja.dict.naver.com/#/search?query=%E8%AA%B2
w_9ee9519d3d6e7bd7,N1,慣習,かんしゅう,관습,queue,catalog-absent,,naver-level-missing,naver_level_missing,,,,,,,,,self,surface,土地の慣習に従う。,,,https://ja.dict.naver.com/#/search?query=%E6%85%A3%E7%BF%92
w_25b648bf778c94cd,N5,する,する,하다,accepted,homograph,수동 검수에서 네이버 검색의 해당 의미 급수로 옮김. 카탈로그는 동음이의로 남아 목록 매칭이 애매해도 카드 뜻은 확정.,level-ambiguous,manual_review,N1,擦る,する,manual_review,N5,為る,,,naver,surface,10分の1に縮尺する.,,문지르다;비비다;닦다;→すれる,https://ja.dict.naver.com/#/search?query=%E3%81%99%E3%82%8B
w_a9ecc3b353d6e247,N5,いる,いる,있다,accepted,homograph,동음이의. 카드 뜻과 맞는 네이버 항목이 앱 급수에 있다. N5 居る matches 있다; N2 is 煎る.,level-ambiguous,manual_review,N2,煎る·炒る·熬る,いる,manual_review,N5,居る,,,self,surface,教室には学生が三人いる。,,볶다;지지다,https://ja.dict.naver.com/#/search?query=%E3%81%84%E3%82%8B
w_1da8dde639dcee40,N5,でも,でも,"하지만, 그렇지만",accepted,homograph,동음이의. 카드 뜻과 맞는 네이버 항목이 앱 급수에 있다. live exact でも is N5.,level-ambiguous,manual_review,N2,,デモ,match,N5,でも,,,naver,surface,ロ：でも勝手に使わせるようにはしないでください。,,데모;‘デモンストレーション’의 준말,https://ja.dict.naver.com/#/search?query=%E3%81%A7%E3%82%82
w_901e9473e86b14cd,N5,また,また,또,accepted,homograph,동음이의. 카드 뜻과 맞는 네이버 항목이 앱 급수에 있다. N5 又 is 또; N1 is 股.,level-ambiguous,manual_review,N1,,また,manual_review,N5,又·復·亦,,,self,surface,またについて話す。,,아귀;갈래;가랑이;샅;갈림길,https://ja.dict.naver.com/#/search?query=%E3%81%BE%E3%81%9F
w_98e68681f275b2c8,N5,ここ,ここ,여기,accepted,homograph,동음이의. 카드 뜻과 맞는 네이버 항목이 앱 급수에 있다. N5 此処 is 여기; N1 is 個個.,level-ambiguous,manual_review,N1,個個·箇箇,ここ,manual_review,N5,此処·此所,,,self,surface,ここに名前を書いてください。,,개개;낱낱;하나하나,https://ja.dict.naver.com/#/search?query=%E3%81%93%E3%81%93
w_44bc31f10823f315,N5,結婚する,けっこんする,결혼하다,accepted,suru-compound,동사 카드(어간+する). 네이버 목록은 명사 표제어만 둔다.,naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,derived-form,base=結婚 suffix=する,naver,surface,良縁を得て結婚する.,,,https://ja.dict.naver.com/#/search?query=%E7%B5%90%E5%A9%9A%E3%81%99%E3%82%8B
w_d631fd55fbc45d65,N5,大変,たいへん,"힘듦, 큰일임",accepted,homograph,동음이의. 카드 뜻과 맞는 네이버 항목이 앱 급수에 있다. live has an N5 大変 entry for this card.,level-ambiguous,manual_review,N4,大変,たいへん,manual_review,N5,大変,,,naver,surface,その節は大変お世話になりました,,대변;큰일;대사건,https://ja.dict.naver.com/#/search?query=%E5%A4%A7%E5%A4%89
w_59c56506badd0309,N5,質問する,しつもんする,질문하다,accepted,suru-compound,동사 카드(어간+する). 네이버 목록은 명사 표제어만 둔다.,naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,derived-form,base=質問 suffix=する,naver,surface,何でもないように質問する,,,https://ja.dict.naver.com/#/search?query=%E8%B3%AA%E5%95%8F%E3%81%99%E3%82%8B
w_6313f9284b018464,N5,一台,いちだい,한 대(자전거),accepted,counter,조수사·수량 카드. 네이버 목록은 조수사 형태소만 두는 경우가 많다.,naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,,,naver,surface,学生である私は車どころか、自転車一台を買うお金もない。,,,https://ja.dict.naver.com/#/search?query=%E4%B8%80%E5%8F%B0
w_1cd9d956ac65ad3e,N5,色々,いろいろ,다양한; 여러 가지임,accepted,search-unmatched,현대 표기(々) 또는 관용·복합 학습 카드. 네이버 목록 표제어와 철자가 달라도 유지.,naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,,,self,surface,これは色々だ。,,,https://ja.dict.naver.com/#/search?query=%E8%89%B2%E3%80%85
w_5877b188cb058939,N5,千円,せんえん,1000엔,accepted,counter,조수사·수량 카드. 네이버 목록은 조수사 형태소만 두는 경우가 많다.,naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,,,self,surface,千円について話す。,,,https://ja.dict.naver.com/#/search?query=%E5%8D%83%E5%86%86
w_d5e8dc868e6a7029,N5,分かる,わかる,"알다, 이해하다",accepted,no-jlpt-badge,네이버가 이 표기+읽기에 JLPT 배지를 붙이지 않는다. 학습 카드로 유지.,naver-level-missing,naver_level_missing,,,,search_no_jlpt,,分(か)る,,,naver,surface,苦心の程が分かる,,,https://ja.dict.naver.com/#/search?query=%E5%88%86%E3%81%8B%E3%82%8B
w_2e1c725abcc5c203,N5,終わる,おわる,끝나다,accepted,catalog-absent-search-match,"공식 JLPT 목록에는 이 철자가 없지만, 네이버 검색 JLPT 배지가 앱 급수와 같다.",naver-level-missing,naver_level_missing,,,,match,N5,終(わ)る,,,naver,surface,スコアレスドローで終わる,,,https://ja.dict.naver.com/#/search?query=%E7%B5%82%E3%82%8F%E3%82%8B
w_df6f8bed5b534092,N5,にだい,にだい,두 대(자전거),accepted,no-jlpt-badge,네이버가 이 표기+읽기에 JLPT 배지를 붙이지 않는다. 학습 카드로 유지.,naver-level-missing,naver_level_missing,,,,search_no_jlpt,,二大,,,self,surface,自転車がにだい並んでいる。,,,https://ja.dict.naver.com/#/search?query=%E3%81%AB%E3%81%A0%E3%81%84
