word_id,jp,ko,source,source_url,license,permission_status,attribution,captured_at,qa_status,sort_order,naver_example_id,naver_source_cid,naver_source_name,query,qa_note
w_00016e229a19b84b,力について話す。,힘에 대해 이야기한다.,self,https://ja.dict.naver.com/#/search?query=%E5%8A%9B,self,self,AshitaKanji 편집 예문,1787191529324,verified,0,,,,力,remaining-review-queue 2026-08-20; 표제어 원형 포함; 자체 작성
w_007680925f9898a2,火口から煙が上がっている。,분화구에서 연기가 피어오르고 있다.,self,https://ja.dict.naver.com/#/search?query=%E7%81%AB%E5%8F%A3,self,self,AshitaKanji 편집 예문,1786345143714,auto,0,,,,火口,자체 작성·번역; NAVER 일본어사전에서 표제어 용법 확인; 전수 표제어 QA
w_012a3956391c7abf,揃いの制服を着ている。,맞춰 입은 교복을 입고 있다.,self,,self,self,self,1786980232054,verified,0,,,,揃い,na-adjective-dedupe backfill
w_013e176627a827e0,とても凄い。,매우 훌륭한.,self,https://ja.dict.naver.com/#/search?query=%E5%87%84%E3%81%84,self,self,AshitaKanji 편집 예문,1787191529324,verified,0,,,,凄い,remaining-review-queue 2026-08-20; 표제어 원형 포함; 자체 작성
w_01fbc4d975317826,歌について話す。,노래에 대해 이야기한다.,self,https://ja.dict.naver.com/#/search?query=%E6%AD%8C,self,self,AshitaKanji 편집 예문,1787191529324,verified,0,,,,歌,remaining-review-queue 2026-08-20; 표제어 원형 포함; 자체 작성
w_0385d7c8467b50dd,誕生日はいつですか。,생일은 언제입니까?,self,https://ja.dict.naver.com/#/search?query=%E3%81%84%E3%81%A4,self,self,AshitaKanji 편집 예문,1786378717266,auto,0,,,,いつ,자체 작성·번역; 표제어 기본형 포함 및 문법·의미 수동 검수
w_039c519fd62d3882,父は毎朝新聞を読む。,아버지는 매일 아침 신문을 읽습니다.,self,https://tatoeba.org/en/sentences/search?from=jpn&query=%E6%96%B0%E8%81%9E%E3%82%92%E8%AA%AD%E3%82%80,self,self,AshitaKanji 편집 예문,1786287600000,auto,0,,,,新聞を読む,자체 작성·번역;외부 사전/코퍼스에서 '新聞を読む' 용법 확인;표제어 원형 포함 검사 통과;구문 카드 新聞を読む에서 이관
w_0448ba5ff37549ec,牧師について話す。,목사에 대해 이야기한다.,self,https://ja.dict.naver.com/#/search?query=%E7%89%A7%E5%B8%AB,self,self,AshitaKanji 편집 예문,1787191529324,verified,0,,,,牧師,remaining-review-queue 2026-08-20; 표제어 원형 포함; 자체 작성
w_04bbfe9d5df156d4,サンダルについて話す。,샌들에 대해 이야기한다.,self,https://ja.dict.naver.com/#/search?query=%E3%82%B5%E3%83%B3%E3%83%80%E3%83%AB,self,self,AshitaKanji 편집 예문,1787191529324,verified,0,,,,サンダル,remaining-review-queue 2026-08-20; 표제어 원형 포함; 자체 작성
w_0513d7c7e92231c6,これはいわゆる環境問題です。,이것은 이른바 환경 문제입니다.,self,https://ja.dict.naver.com/#/search?query=%E3%81%84%E3%82%8F%E3%82%86%E3%82%8B,self,self,AshitaKanji 편집 예문,1786378717266,auto,0,,,,いわゆる,자체 작성·번역; 표제어 기본형 포함 및 문법·의미 수동 검수
w_053f7db9e9a81e55,学校で新しい友達ができました。,학교에서 새로운 친구가 생겼습니다.,self,https://ja.dict.naver.com/#/search?query=%E5%8F%8B%E9%81%94,self,self,AshitaKanji 편집 예문,1786345143714,auto,0,,,,友達,자체 작성·번역; 표제어 교정 후 초급 학습 문맥으로 재작성
w_057776e0e75563f7,落ち着いて傷付く。,차분히 상처받다.,self,https://ja.dict.naver.com/#/search?query=%E5%82%B7%E4%BB%98%E3%81%8F,self,self,AshitaKanji 편집 예문,1787191529324,verified,0,,,,傷付く,remaining-review-queue 2026-08-20; 표제어 원형 포함; 자체 작성
w_05fd1eca6f1886bd,家族で誕生日を祝う。,가족과 생일을 축하한다.,self,https://ja.dict.naver.com/#/search?query=%E7%A5%9D%E3%81%86,self,self,AshitaKanji 편집 예문,1787187754128,verified,0,,,,祝う,example-review-queue 2026-08-20; 표제어 원형 포함; 자체 작성
